Smiles,IC50_uM,pIC50
Cc1cc(-c2ccc(Cc3cc(=O)n(O)c(=O)[nH]3)cc2)ccc1F,0.011,7.958607315
CCC1(c2cccc(OC)c2)Oc2ccccc2-n2cccc2C1=O,0.011,7.958607315
CS(=O)(=O)c1ccc(NC(=O)CSC(=O)N2CCCc3cc(Cl)cc(Cl)c32)c(Cl)c1,0.011,7.958607315
O=c1cc(Cc2ccc(Br)cc2)[nH]c(=O)n1O,0.011,7.958607315
Cc1cnc(Nc2ccc(C#N)cc2)nc1Nc1c(C)cc(C#N)cc1C,0.012,7.920818754
CCC(C)Sc1nc(C(OC)c2c(F)cccc2Cl)c(C)c(=O)[nH]1,0.012,7.920818754
Cn1ccc2c(Cc3ccc(Br)c(Oc4cc(Cl)cc(C#N)c4)c3F)n[nH]c2c1=O,0.012,7.920818754
O=c1cc(Cc2cccc(-c3ccc(Cl)cc3)c2)[nH]c(=O)n1O,0.012,7.920818754
CCc1c(C)[nH]c(=O)c(-n2cccc2)c1Cc1cc(C)cc(C)c1,0.0126,7.899629455
Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(c3cccc(C(N)=O)c3)CC2)ncc1Cl,0.013,7.886056648
Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)N[C@@H](C)C(N)=O)[nH]c3ccc(Br)cc23)c1,0.013,7.886056648
Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NCCS(N)(=O)=O)[nH]c3ccc(Br)cc23)c1,0.013,7.886056648
Cc1ccc(CNc2ccnc(Nc3ccc(C#N)cc3)n2)cc1,0.013,7.886056648
CCOCCN(C)c1c(Cc2cccc(C)c2)c(CC)c(C)[nH]c1=O,0.013,7.886056648
N#Cc1cc(Cl)cc(Oc2c(COCc3ccncc3)c[nH]c(=O)c2Br)c1,0.013,7.886056648
O=c1cc(Cc2cccc(Br)c2)[nH]c(=O)n1O,0.013,7.886056648
Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(c3cccc(C(N)=O)c3)CC2)ncc1F,0.014,7.853871964
Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(C)(=O)=O)cc3)CC2)ncc1Br,0.014,7.853871964
Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NCN3CCCC3)[nH]c3ccc(Br)cc23)c1,0.014,7.853871964
COC(c1nc(SC2CCCC2)[nH]c(=O)c1C)c1c(F)cccc1F,0.014,7.853871964
N#Cc1cc(Cl)cc(Oc2c(Br)ccc(Cc3n[nH]c4nccnc34)c2F)c1,0.014,7.853871964
N#Cc1cc(Cl)cc(Oc2c(CCOc3ccncc3)c[nH]c(=O)c2Br)c1,0.014,7.853871964
N#Cc1cc(Cl)cc(Oc2cc(CCc3ccncc3)[nH]c(=O)c2Cl)c1,0.014,7.853871964
N#Cc1cccc(Oc2cc(Cl)cc(OCC(=O)Nc3ccc(S(N)(=O)=O)cc3Cl)c2)c1,0.0144,7.841637508
Cc1c(C(C)c2c(F)cccc2Cl)nc(SC(C)C)[nH]c1=O,0.015,7.823908741
Cc1cnc(NC2CCN(c3cccc(C(N)=O)c3)CC2)nc1Oc1c(C)cc(C#N)cc1C,0.015,7.823908741
CCC(C)Sc1nc(C(OC)c2c(Cl)cccc2Cl)c(C)c(=O)[nH]1,0.015,7.823908741
COC(=O)c1ccc(-c2ccc(C(=O)c3cc(=O)n(O)c(=O)[nH]3)cc2)cc1,0.015,7.823908741
N#Cc1cc(Cl)cc(Oc2c(Br)ccc(Cc3n[nH]c4c(C#N)cccc34)c2F)c1,0.015,7.823908741
O=c1cc(Cc2ccc(-c3cc(Cl)cc(C(F)(F)F)c3)cc2)[nH]c(=O)n1O,0.015,7.823908741
O=c1cc(Cc2ccc(-c3ccc(F)cc3F)cc2)[nH]c(=O)n1O,0.015,7.823908741
COCCOCCOc1ccc(NC(=O)COc2ccc(Cl)cc2C(=O)c2cc(F)cc(C(F)(F)F)c2)c(C)c1,0.01585,7.799970733
Cc1cc(C#N)ccc1-c1ccnc(NCc2n[nH]c(-c3ccccn3)c2Cl)c1,0.016,7.795880017
Cc1cc(C#N)ccc1-c1ccnc(NCc2n[nH]c3nc(N)ccc23)c1,0.016,7.795880017
Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NC(C)C(N)=O)[nH]c3ccc(Br)cc23)c1,0.016,7.795880017
CCc1c(C)[nH]c(=O)c(N(C)CCC#N)c1Cc1cccc(C)c1,0.016,7.795880017
CCc1c(C)[nH]c(=O)c(N(CC)CC)c1Cc1cc(C)cc(C)c1,0.016,7.795880017
CCCN(C)c1c(Cc2cc(C)cc(C)c2)c(CC)c(C)[nH]c1=O,0.016,7.795880017
CCNc1c(Cc2cc(C)cc(C)c2)c(CC)c(C)[nH]c1=O,0.016,7.795880017
N#Cc1cc(Cl)cc(Oc2c(CCOc3cccnc3)c[nH]c(=O)c2Br)c1,0.016,7.795880017
N#Cc1cc(Cl)cc(Oc2cc(CCc3cccnc3)[nH]c(=O)c2Cl)c1,0.016,7.795880017
N#Cc1ccc(Nc2nccc(NCc3cccc(F)c3)n2)cc1,0.016,7.795880017
N#Cc1ccc(Nc2nccc(NCc3ccccc3F)n2)cc1,0.016,7.795880017
O=c1cc(Cc2ccc(-c3cccc(Cl)c3)cc2)[nH]c(=O)n1O,0.016,7.795880017
O=c1cc(Cc2ccc(-c3ccccc3)cc2)[nH]c(=O)n1O,0.016,7.795880017
Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(c3cccc(C(N)=O)c3)CC2)ncc1N,0.017,7.769551079
Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3cccc(C(N)=O)c3)CC2)nc2sccc12,0.017,7.769551079
Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)N[C@H](C)C(N)=O)[nH]c3ccc(Cl)cc23)c1,0.017,7.769551079
Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NCc3ccccc3)[nH]c3ccc([N+](=O)[O-])cc23)c1,0.017,7.769551079
CCc1c(C)nc(O)c(N)c1Cc1cc(C)cc(C)c1,0.017,7.769551079
COc1ccc(CN(C)c2nc(C(C)c3c(Cl)cccc3Cl)c(C)c(=O)[nH]2)cc1,0.017,7.769551079
O=C(c1cccc(-c2ccccc2)c1)c1cc(=O)n(O)c(=O)[nH]1,0.017,7.769551079
Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NCCn3cccc3)[nH]c3ccc(Cl)c(F)c23)c1,0.018,7.744727495
COc1cc(C#N)cc(C)c1Oc1ccnc(NC2CCN(c3cccc(C(N)=O)c3)CC2)n1,0.018,7.744727495
COc1cccc(CNc2ccnc(Nc3ccc(C#N)cc3)n2)c1,0.018,7.744727495
N#Cc1ccc(Nc2nccc(NCc3cccc(Cl)c3)n2)cc1,0.018,7.744727495
O=c1cc(Cc2cccc(-c3cccc(F)c3)c2)[nH]c(=O)n1O,0.018,7.744727495
Cc1cc(C#N)cc(C)c1Nc1nc(NC2CCN(c3cccc(C(N)=O)c3)CC2)ncc1Br,0.019,7.721246399
Cc1cc(-c2ccc(C(=O)c3cc(=O)n(O)c(=O)[nH]3)cc2)ccc1F,0.019,7.721246399
NS(=O)(=O)c1ccc(NC(=O)COC(=O)N2CCCc3cc(Cl)cc(Cl)c32)c(Cl)c1,0.019,7.721246399
Cc1cc(C#N)cc(Cl)c1Oc1nc(NC2CCN(c3cccc(C(N)=O)c3)CC2)ncc1Cl,0.02,7.698970004
Cc1nc(CCCCCCC(=O)c2ccccc2)n2nc(-n3cccc3)ccc12,0.02,7.698970004
CCCNc1c(Cc2cc(C)cc(C)c2)c(CC)c(C)[nH]c1=O,0.02,7.698970004
N#Cc1ccc(Nc2nccc(NCc3ccccc3)n2)cc1,0.02,7.698970004
O=C(NCc1c(F)cccc1Cl)c1[nH]c2ccc(Br)cc2c1S(=O)(=O)N1CCCC1,0.02,7.698970004
O=c1cc(Cc2cccc(-c3cccc(Cl)c3)c2)[nH]c(=O)n1O,0.02,7.698970004
S=C(NCCc1ccccn1)Nc1ccc(Br)cn1,0.02,7.698970004
Cc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(S(N)(=O)=O)cc3Cl)CC2)ncc1Br,0.021,7.677780705
Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NCc3ccccc3)[nH]c3ccc(Cl)cc23)c1,0.021,7.677780705
Cc1ccc(-c2ccc(C(=O)c3cc(=O)n(O)c(=O)[nH]3)cc2)cc1,0.021,7.677780705
COc1cc(C#N)cc(C)c1Oc1nc(NC2CCN(c3cccc(C(N)=O)c3)CC2)ncc1C,0.021,7.677780705
Cc1cc(/C=C/C#N)cc(C)c1Oc1nc(NC2CCN(Cc3cccc(F)c3)CC2)nc2ccsc12,0.0211,7.675717545
CC1(C)CN2C(CS/C(=N\C3CCCCC3)NC3CCCCC3)=CSC2=N1,0.022,7.657577319
Cc1[nH]nc(OCC(=O)Nc2ccc(-c3ccc(CC(=O)O)cc3)cc2Cl)c1-c1ccc(C(C)(C)C)cc1Cl,0.022,7.657577319
Cc1ccc(-n2nnnc2SCC(=O)Nc2ccc(-c3ccc(OCC(=O)O)cc3)cc2Cl)c(Cl)c1,0.022,7.657577319
